day,distance(m)
2023-12-20,1200.0
2023-12-21,2400.0
2023-12-22,1500.0
2023-12-23,948.0
2023-12-24,1600.0
2023-12-25,5100.0
2023-12-26,5700.0
2023-12-27,5800.0
2023-12-28,5700.0
2023-12-29,4200.0
2023-12-30,434.0
2023-12-31,921.0
2024-01-01,6800.0
2024-01-02,7500.0
2024-01-03,7900.0
2024-01-04,8800.0
2024-01-05,6000.0
2024-01-06,228.0
2024-01-07,1100.0
2024-01-08,5500.0
2024-01-09,5800.0
2024-01-10,5700.0
2024-01-11,5900.0
2024-01-12,6900.0
2024-01-13,1400.0
2024-01-14,186.0
2024-01-15,6600.0
2024-01-16,1500.0
2024-01-17,113.0
2024-01-18,1200.0
2024-01-19,5500.0
2024-01-20,1200.0
2024-01-21,1800.0
2024-01-22,2100.0
2024-01-23,2600.0
2024-01-24,1900.0
2024-01-25,6330.0
2024-01-26,349.0
2024-01-27,1200.0
2024-01-28,3000.0
2024-01-29,6600.0
2024-01-30,6400.0
2024-01-31,6000.0
2024-02-01,1400.0
2024-02-02,971.0
2024-02-03,97.0
2024-02-04,384.0
2024-02-05,2300.0
2024-02-06,6400.0
2024-02-07,6800.0
2024-02-08,208.0
2024-02-09,254.0
2024-02-10,1800.0
2024-02-11,729.0
2024-02-12,6500.0
2024-02-13,871.0
2024-02-14,445.0
2024-02-15,633.0
2024-02-16,556.0
2024-02-17,5800.0
2024-02-18,3800.0
2024-02-19,6500.0
2024-02-20,6400.0
2024-02-21,693.0
2024-02-22,6400.0
2024-02-23,6000.0
2024-02-24,4400.0
2024-02-25,3900.0
2024-02-26,106.0
2024-02-27,6400.0
2024-02-28,6000.0
2024-02-29,2100.0
2024-03-01,103.0
2024-03-02,1500.0
2024-03-03,529.0
2024-03-04,4600.0
2024-03-05,6600.0
2024-03-06,6000.0
2024-03-07,2200.0
2024-03-08,60.0
2024-03-09,13.0
2024-03-10,1500.0
2024-03-11,18.0
2024-03-12,6000.0
2024-03-13,6300.0
2024-03-14,6700.0
2024-03-15,6000.0
2024-03-16,5200.0
2024-03-17,4300.0
2024-03-18,1100.0
2024-03-19,633.0
2024-03-20,1600.0
2024-03-21,2300.0
2024-03-22,970.0
2024-03-23,4200.0
2024-03-24,3800.0
2024-03-25,193.0
2024-03-26,1000.0
2024-03-27,6300.0
2024-03-28,6300.0
2024-03-29,3600.0
2024-03-30,1200.0
2024-03-31,816.0
2024-04-01,216.0
2024-04-02,6000.0
2024-04-03,7600.0
2024-04-04,6600.0
2024-04-05,6000.0
2024-04-06,5000.0
2024-04-07,4900.0
2024-04-08,1800.0
2024-04-09,73.0
2024-04-10,6200.0
2024-04-11,6200.0
2024-04-12,9.0
2024-04-13,3800.0
2024-04-14,3400.0
2024-04-15,5200.0
2024-04-16,1100.0
2024-04-17,5100.0
2024-04-18,1100.0
2024-04-19,100.0
2024-04-20,214.0
2024-04-21,213.0
2024-04-22,6300.0
2024-04-23,4000.0
2024-04-24,4500.0
2024-04-25,4800.0
2024-04-26,7200.0
2024-04-27,6400.0
2024-04-28,3800.0
2024-04-29,1200.0
2024-04-30,1500.0
2024-05-01,4700.0
2024-05-02,2600.0
2024-05-03,46.0
2024-05-04,1100.0
2024-05-05,245.0
2024-05-06,132.0
2024-05-07,40.0
2024-05-08,118.0
2024-05-09,195.0
2024-05-10,101.0
2024-05-11,1400.0
2024-05-12,3200.0
2024-05-13,798.0
2024-05-14,33.0
2024-05-15,1500.0
2024-05-16,36.0
2024-05-17,2400.0
2024-05-18,2900.0
2024-05-19,4000.0
2024-05-20,34.0
2024-05-21,3900.0
2024-05-22,4200.0
2024-05-23,42.0
2024-05-24,2500.0
2024-05-25,1200.0
2024-05-26,3000.0
2024-05-27,4100.0
2024-05-28,4000.0
2024-05-29,7500.0
2024-05-30,4200.0
2024-05-31,1100.0
2024-06-01,1400.0
2024-06-02,5600.0
2024-06-03,739.0
2024-06-04,60.0
2024-06-05,3900.0
2024-06-06,43.0
2024-06-07,2100.0
2024-06-08,3700.0
2024-06-09,2300.0
2024-06-10,458.0
2024-06-11,63.0
2024-06-12,8200.0
2024-06-13,2000.0
2024-06-14,77.0
2024-06-15,1300.0
2024-06-16,8000.0
2024-06-17,106.0
2024-06-18,109.0
2024-06-19,32.0
2024-06-20,64.0
2024-06-21,3800.0
2024-06-22,1700.0
2024-06-23,8400.0
2024-06-24,109.0
2024-06-25,146.0
2024-06-26,85.0
2024-06-27,45.0
2024-06-28,1700.0
2024-06-29,1300.0
2024-06-30,2200.0
2024-07-01,66.0
